Godzilla_vs_Doge William_Halsey Action Cineplex
Back_to_the_Past George_Best Sci-fi CGV
Train_to_Gerlong Gerald_Ford Horror XXI
How_to_Train_Your_Kitty William_Halsey Comedy XXI_Premiere
Iron_Man John_Favreau Adventure Dakota
Iron_Man_2 John_Favreau Action Platinum_Suplex
Cek_Toko_Sebelah Ernest_Praksara Family Blitz
Imperfect Ernest_Praksara Romance Cinepolis
Pengabdi_Setan Joko_Anwar Mistery XXI
Interstellar Christopher_Nolan Sci-fi CGV
Spiderman_No_Way_Home Jon_Watts Action Cinema_26
End_Game Joe_Russo Action Cinepolis
Miss_Him Cantika_Putri Romance XXI_Premiere
#### #### #### ####
